cart_pos,cart_vel,pole_angle,pole_vel,action_0_value,action_1_value
-0.0,-0.4000000059604645,-0.10000000149011612,-0.20000000298023224,15.0,-237.82688525533214
-0.0,-0.6000000238418579,-0.10000000149011612,0.20000000298023224,15.0,-225.93554099256554
0.0,-0.4000000059604645,-0.10000000149011612,-0.10000000149011612,-214.63876394293726,15.0
0.0,-0.20000000298023224,-0.10000000149011612,-0.30000001192092896,-203.9068257457904,15.0
0.0,-0.4000000059604645,-0.10000000149011612,0.0,15.0,-193.71148445850088
0.0,-0.20000000298023224,-0.10000000149011612,-0.20000000298023224,-184.02591023557582,15.0
0.0,-0.4000000059604645,-0.10000000149011612,0.10000000149011612,15.0,-174.82461472379703
0.0,-0.6000000238418579,-0.10000000149011612,0.4000000059604645,15.0,-166.08338398760716
0.10000000149011612,-0.4000000059604645,-0.10000000149011612,0.20000000298023224,-157.7792147882268,15.0
0.10000000149011612,-0.20000000298023224,-0.10000000149011612,-0.10000000149011612,-149.89025404881545,15.0
0.10000000149011612,-0.0,-0.10000000149011612,-0.30000001192092896,-142.39574134637468,15.0
0.10000000149011612,0.20000000298023224,-0.10000000149011612,-0.5,-135.27595427905592,15.0
0.0,0.4000000059604645,-0.10000000149011612,-0.800000011920929,-128.5121565651031,15.0
0.0,0.20000000298023224,-0.10000000149011612,-0.5,15.0,-122.08654873684793
0.0,0.4000000059604645,-0.10000000149011612,-0.699999988079071,-115.98222130000556,15.0
0.0,0.20000000298023224,-0.10000000149011612,-0.4000000059604645,15.0,-110.18311023500526
0.0,0.30000001192092896,-0.10000000149011612,-0.699999988079071,-104.673954723255,15.0
0.0,0.5,-0.0,-1.0,-99.44025698709224,15.0
0.0,0.30000001192092896,-0.0,-0.699999988079071,-85.25759033430819,-94.46824413773763
-0.0,0.20000000298023224,-0.0,-0.4000000059604645,15.0,-80.99471081759278
-0.0,-0.0,-0.0,-0.10000000149011612,-69.4428401872336,-76.94497527671314
0.0,-0.20000000298023224,-0.0,0.20000000298023224,-154.94132242399215,-65.97069817787191
0.0,-0.4000000059604645,-0.0,0.5,-568.8000922764597,-163.09612886736016
-0.10000000149011612,-0.6000000238418579,0.20000000298023224,1.0,-1000.0,15.0
-0.10000000149011612,-0.800000011920929,0.20000000298023224,1.2999999523162842,15.0,-950.0
-0.10000000149011612,-0.6000000238418579,0.10000000149011612,0.8999999761581421,-902.5,15.0
-0.10000000149011612,-0.800000011920929,0.10000000149011612,1.2000000476837158,15.0,-857.375
-0.10000000149011612,-1.0,0.10000000149011612,1.399999976158142,15.0,-814.5062499999999
-0.0,-0.800000011920929,0.10000000149011612,1.100000023841858,-773.7809374999998,15.0
-0.0,-1.0,0.0,1.399999976158142,15.0,-735.0918906249998
-0.0,-0.800000011920929,0.0,1.100000023841858,-698.3372960937497,15.0
0.0,-0.6000000238418579,0.0,0.800000011920929,-663.4204312890622,-598.7369392383787
0.0,-0.20000000298023224,-0.0,0.30000001192092896,-540.3600876626367,-246.33865114581496
-0.0,-1.100000023841858,0.20000000298023224,2.0999999046325684,-1000.0,15.0
-0.0,-0.8999999761581421,0.20000000298023224,1.7999999523162842,-950.0,15.0
-0.0,-0.699999988079071,0.10000000149011612,1.5,-902.5,15.0
-0.0,-0.5,0.10000000149011612,1.2000000476837158,-857.375,15.0
-0.0,-0.30000001192092896,0.10000000149011612,0.800000011920929,-814.5062499999999,-735.0918906249998
0.0,-0.10000000149011612,0.10000000149011612,0.5,-698.3372960937497,15.0
0.0,0.10000000149011612,0.10000000149011612,0.20000000298023224,-663.4204312890622,15.0
-0.0,0.30000001192092896,0.10000000149011612,-0.10000000149011612,-630.2494097246091,15.0
-0.0,0.5,0.10000000149011612,-0.5,-598.7369392383787,15.0
-0.0,0.30000001192092896,0.10000000149011612,-0.20000000298023224,-513.3420832795049,-568.8000922764597
-0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,15.0,-540.3600876626367
-0.0,-0.10000000149011612,0.10000000149011612,0.30000001192092896,15.0,-463.29123015975307
-0.0,0.10000000149011612,0.10000000149011612,0.0,-440.1266686517654,-397.2143184582182
-0.0,0.30000001192092896,0.10000000149011612,-0.30000001192092896,-418.1203352191771,15.0
-0.0,-0.30000001192092896,0.10000000149011612,0.5,15.0,-358.4859224085419
-0.0,-0.10000000149011612,0.10000000149011612,0.20000000298023224,-340.5616262881148,-307.35686772502356
-0.0,0.10000000149011612,0.10000000149011612,-0.10000000149011612,-323.533544973709,15.0
-0.0,-0.20000000298023224,0.0,0.4000000059604645,-263.52009446574203,-291.98902433877237
-0.0,-0.4000000059604645,0.0,0.699999988079071,15.0,-277.38957312183373
-0.0,-0.10000000149011612,0.0,0.10000000149011612,-250.3440897424549,-184.02591023557582
-0.0,0.30000001192092896,0.0,-0.5,-225.93554099256554,15.0
-0.0,0.10000000149011612,0.0,-0.20000000298023224,-193.71148445850088,-214.63876394293726
-0.10000000149011612,-0.0,0.20000000298023224,0.6000000238418579,-1000.0,15.0
-0.10000000149011612,-0.20000000298023224,0.20000000298023224,0.800000011920929,15.0,-950.0
-0.10000000149011612,-0.4000000059604645,0.20000000298023224,1.0,15.0,-902.5
-0.10000000149011612,-0.6000000238418579,0.10000000149011612,1.2999999523162842,15.0,-857.375
-0.10000000149011612,-0.4000000059604645,0.10000000149011612,1.0,-814.5062499999999,15.0
-0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.6000000238418579,-773.7809374999998,15.0
-0.10000000149011612,0.0,0.10000000149011612,0.30000001192092896,-735.0918906249998,15.0
-0.10000000149011612,0.20000000298023224,0.10000000149011612,0.0,-698.3372960937497,15.0
-0.10000000149011612,0.4000000059604645,0.10000000149011612,-0.30000001192092896,-663.4204312890622,15.0
-0.10000000149011612,0.20000000298023224,0.10000000149011612,-0.10000000149011612,-568.8000922764597,-630.2494097246091
-0.10000000149011612,0.0,0.10000000149011612,0.20000000298023224,15.0,-598.7369392383787
-0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,-487.6749791155296,-540.3600876626367
-0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.4000000059604645,15.0,-513.3420832795049
-0.10000000149011612,0.0,0.10000000149011612,0.0,-440.1266686517654,15.0
-0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.30000001192092896,15.0,-418.1203352191771
-0.10000000149011612,-0.4000000059604645,0.10000000149011612,0.5,15.0,-397.2143184582182
-0.10000000149011612,-0.6000000238418579,0.10000000149011612,0.800000011920929,15.0,-377.3536025353073
-0.10000000149011612,-0.800000011920929,0.0,1.100000023841858,15.0,-358.4859224085419
-0.10000000149011612,-0.6000000238418579,0.0,0.800000011920929,-340.5616262881148,15.0
-0.10000000149011612,-0.4000000059604645,0.0,0.5,-323.533544973709,-291.98902433877237
-0.10000000149011612,-0.20000000298023224,0.0,0.20000000298023224,-307.35686772502356,15.0
-0.10000000149011612,0.20000000298023224,-0.0,-0.30000001192092896,15.0,-184.02591023557582
-0.10000000149011612,0.0,-0.0,-0.0,15.0,-174.82461472379703
